廖建泉,主治医师,心内科,复旦大学附属中山医院,10.0,擅长：冠心病、高血压、心律失常、心力衰竭、心肌病等复杂...,￥200
张峰,主任医师,心内科高级专家门诊,复旦大学附属中山医院,10.0,擅长：冠心病、高血压、高血脂、心律失常、心功能不全等心...,￥888
张林昊,主治医师,消化内科,四川大学华西医院,,擅长：消化内科常见病、多发病（例如消化不良、慢性胃炎、...,未开通
李晓光,主任医师,神经科,北京协和医院,9.9,擅长：肌萎缩侧索硬化及其他神经系统退行性疾病（如老年痴...,￥1999
陈辉,主治医师,消化内科,西京医院,9.9,擅长：肝炎（乙肝，丙肝等）的规范治疗，肝硬化并发症的规...,￥99
赵耀中,主任医师,淋巴瘤诊疗中心,中国医学科学院血液病医院（血液学研究所）,10.0,擅长：各类血液病的诊断与治疗，尤其擅长各类淋巴系统血液...,￥500
李超,副主任医师,肾内科,北京协和医院,9.9,擅长：膜性肾病、狼疮性肾炎等原发和继发性肾小球疾病,未开通
杨帆,主任医师,抗生素研究所,复旦大学附属华山医院,9.3,擅长：各类细菌、真菌感染诊治，抗菌药物合理应用。,￥1000
宋雷,主任医师,心内科,中国医学科学院阜外医院,10.0,擅长：冠心病及冠脉介入治疗，冠状动脉内影像及生理学，左...,￥1992
陈雪华,副主任医师,呼吸内科,复旦大学附属中山医院,9.9,擅长：急性、慢性肺炎，肺结节，隐原性机化性肺炎，肺隐球...,未开通
罗锋,主治医师,呼吸科,四川大学华西医院,9.9,擅长：医学博士。在呼吸系统常见疾病以及多发病，尤其是对...,暂无排班
黄智伟,副主任医师,心内科,中国医学科学院阜外医院,10.0,擅长：冠心病心肌梗死高血压病高脂血症心律失常（...,￥500
孟馨,主任医师,内分泌科,中国医科大学附属第一医院,10.0,擅长：糖尿病及并发症的诊治、甲状腺疾病诊治等。,未开通
张鑫,主治医师,肾内科,北京大学第一医院,10.0,擅长：慢性肾脏病、肾小球肾炎、单克隆免疫球蛋白相关肾损...,未开通
侯婉音,主治医师,肾内科,北京大学第一医院,10.0,擅长：IgA肾病，膜性肾病，肾病综合征，新冠病毒感染后...,￥300
沈珠军,主任医师,心内科,北京协和医院,10.0,擅长：冠心病介入治疗，高血压、高脂血症等心血管疾病诊治...,未开通
邓欣,主治医师,心内科,复旦大学附属中山医院,9.7,擅长：主攻冠心病、心肌梗死以及心脏支架手术，以及高血压...,￥200
冯一洲,医师,心脏内科,四川大学华西医院,10.0,擅长：常见病多发病的诊治及各种血液学检查报告的解读。,￥200
龚凌云,副主任医师,神经内科,复旦大学附属华山医院,10.0,擅长：周围神经病、神经痛、运动神经元病、脊髓病变、脑血...,未开通
沙莎,副主任医师,神经内科,中国医科大学附属第一医院,10.0,擅长：常见老年疾病包括老年病痴呆，脑出血，脑血栓，头痛...,￥200
徐仁德,主治医师,心内科,复旦大学附属中山医院,,擅长：心内科相关疾病,未开通
郭涛,主任医师,血液科专家,华中科技大学同济医学院附属协和医院,10.0,擅长：噬血细胞综合征，白血病，淋巴瘤，骨髓瘤；擅长血小...,未开通
范学工,主任医师,感染病科,中南大学湘雅医院,9.8,擅长：各类肝脏疾病，特别是病毒性肝炎的诊断与治疗。,未开通
陆福明,主任医师,肾内科,复旦大学附属华山医院,9.8,擅长：各种肾炎如IgA肾炎、膜性肾病、狼疮性肾炎治疗。...,￥498
余希杰,主任医师,内分泌科,四川大学华西医院,10.0,擅长：骨质疏松骨痛、肿瘤相关骨病、甲状旁腺疾病及钙磷代...,￥300
郭涛,副主任医师,消化内科,北京协和医院,9.9,擅长：早期胃癌，幽门螺杆菌感染，胰腺疾病，结肠息肉，炎...,暂无排班
邓钰蕾,主任医师,门诊神内,上海交通大学医学院附属瑞金医院,9.9,擅长：癫痫等发作性疾病、老年性痴呆、头痛、睡眠障碍、脑...,￥800
李异玲,主任医师,消化内科,中国医科大学附属第一医院,10.0,擅长：各种急慢性肝病的诊治，尤其是脂肪性肝病，药物性肝...,暂无排班
罗庆志,主治医师,心血管内科,上海交通大学医学院附属瑞金医院,10.0,擅长：室上速，早搏，房扑房颤等快速型心律失常消融治疗，...,未开通
盛滋科,主治医师,门诊感染病,上海交通大学医学院附属瑞金医院,10.0,擅长：发热，呼吸道感染，细菌感染，各种病毒性肝炎,未开通
李敏,主任医师,心内科,首都医科大学附属北京安贞医院,10.0,擅长：心内科类常见疾病，冠心病，心律失常，房颤，房早，...,￥300
谢万灼,主任医师,血液病科,浙江大学医学院附属第一医院,10.0,擅长：血液病科常见疾病,暂无排班
常红,主任医师,血液内科,四川大学华西医院,10.0,擅长：各种血液检查报告解读，用药建议及诊后指导。血液科...,￥600
蒋卫民,主任医师,感染发热,复旦大学附属华山医院,9.9,擅长：各种病毒性肝炎、肝功能异常、各种发热性疾病、寄生...,￥500
张海鹏,住院医师,呼吸科,四川大学华西医院,10.0,擅长：呼吸道疾病例如上呼吸道感染，各类肺炎，COPD，...,￥60
汤正义,主任医师,门诊内分泌,上海交通大学医学院附属瑞金医院,9.9,擅长：糖尿病血糖控制与疑难并发症的诊治，甲状腺、肾上腺...,未开通
李凯,副主任医师,消化内科,西京医院,10.0,擅长：肝硬化，肝癌，消化道出血，腹水，病毒性肝炎等慢性...,暂无排班
孙晓红,主任医师,消化内科,北京协和医院,10.0,擅长：胃食管反流病、贲门失弛缓症、功能性食管疾病、功能...,未开通
徐蔚海,主任医师,神经科,北京协和医院,9.8,擅长：疑难脑卒中，青年卒中，中枢神经系统疾病疑难疾病，...,未开通
张德新,主任医师,消化内科,西京医院,9.9,擅长：各种食管、胃、肠道疾病。包括胃食管反流病，消化不...,暂无排班
施光峰,主任医师,感染发热,复旦大学附属华山医院,9.5,擅长：各种感染病的诊治，尤其擅长慢乙肝、慢丙肝、脂肪肝...,￥498
高瑞通,主任医师,肾内科,北京协和医院,9.9,擅长：各种原发和继发性肾小球疾病、肾血管疾病及急、慢性...,￥1200
吴斌,主治医师,神经内科,复旦大学附属华山医院,,擅长：神经内科的相关疾病,未开通
汪涛,主任医师,呼吸与危重症医学科,华中科技大学同济医学院附属同济医院,10.0,擅长：肺癌，肺结节的介入消融治疗，气道狭窄，气道瘘治疗...,暂无排班
程蕾蕾,主任医师,心内科,复旦大学附属中山医院,9.8,擅长：关注恶性肿瘤患者放疗、化疗、靶向及免疫治疗过程中...,未开通
舒慧君,主任医师,消化内科,北京协和医院,10.0,擅长：消化系统常见病，自身免疫性肝病，自身免疫性胰腺炎...,￥1000
曹玉珍,主任医师,神经科,北京协和医院,9.9,擅长：各种类型的脑血管病的诊治，包括脑梗塞，脑出血，蛛...,未开通
王晓黎,主任医师,内分泌科,中国医科大学附属第一医院,10.0,擅长：内分泌系统疾病诊治，包括各种类型糖尿病，甲状腺疾...,￥199
张祥,副主任医师,神经内科,复旦大学附属华山医院,9.9,擅长：脱髓鞘疾病(视神经脊髓炎，多发性硬化，中枢神经系...,￥500
匡鼎伟,副主任医师,肾病科,复旦大学附属华山医院,9.9,擅长：各类慢性肾小球肾炎、各种类型肾病综合征、IgA肾...,￥368
